Phone_ID,Brand,RAM_GB,Storage_GB,Screen_Size,Price_USD,Battery_mAh,OS,Rating,Quantity_Sold,Sales_Revenue,Profit,Location,month,year
41,Samsung,6,1024,6.8,804,3445,Android,4,172,138288,34572,Jaipur,July,2023
42,Xiaomi,12,64,5.72,1131,4203,Android,3.7,103,116493,29123.25,Kolkata,December,2024
43,Google,6,256,7.2,1196,4023,Android,3.4,332,397072,99268,Bhopal,July,2022
44,Xiaomi,6,256,5.12,1121,3341,Android,3.2,151,169271,42317.75,Delhi,December,2021
45,Google,12,64,5.58,1020,3132,Android,4.9,166,169320,42330,Delhi,April,2024
46,Samsung,6,256,7.24,856,5490,Android,3.4,153,130968,32742,Kolkata,November,2022
47,Apple,8,512,5.64,,4859,Android,3.1,94,74918,18729.5,Mysore,October,2021
48,OnePlus,8,1024,5.55,1376,5300,Android,4.9,163,,56072,Bangalore,March,2021
49,Samsung,6,1024,5.35,713,,Android,4.1,392,279496,69874,Delhi,November,2020
50,OnePlus,16,64,7.15,1229,3092,Android,4.6,80,98320,24580,Bhopal,September,2024
51,Huawei,12,256,6.25,699,4685,Android,3.1,213,148887,37221.75,Kolkata,December,2023
52,Apple,8,128,6.69,916,4434,iOS,4.1,238,218008,54502,Patna,June,2022
53,Apple,16,128,5.6,1341,,Android,3.8,342,458622,114655.5,Kolkata,March,2023
54,Samsung,6,256,6.9,800,4231,iOS,4.5,244,195200,48800,Thiruvananthapuram,February,2023
55,Apple,16,128,6.9,865,4001,Android,3.1,341,294965,73741.25,Lucknow,June,2020
56,Google,4,64,5.78,667,4660,Android,3.8,424,282808,70702,Bangalore,March,2020
57,Apple,8,64,6.03,360,4596,iOS,4.6,310,111600,27900,Nagpur,June,2020
58,OnePlus,6,256,5.52,469,5354,Android,4,479,224651,56162.75,Mumbai,July,2020
59,OnePlus,12,128,7.44,1279,3265,Android,4.1,256,,81856,Surat,August,2024
60,OnePlus,6,64,6.61,427,3645,Android,3.2,101,43127,10781.75,Patna,June,2024
61,OnePlus,12,64,7.34,1048,5365,Android,3.3,98,102704,25676,Jaipur,January,2021
62,Google,6,512,5.76,348,4136,Android,4.4,55,19140,,Mysore,December,2021
63,Xiaomi,16,512,6.95,1269,5948,Android,4.4,428,543132,135783,Jaipur,February,2024
64,Huawei,16,64,6.91,1367,4401,Android,5,443,605581,151395.25,Jaipur,August,2021
65,Samsung,16,256,6.73,831,3453,Android,4.4,423,351513,87878.25,Chandigarh,April,2020
66,OnePlus,4,1024,7.41,612,5238,Android,4,273,167076,41769,Indore,April,2024
67,Apple,12,1024,5.98,719,4914,Android,4.7,72,51768,12942,Lucknow,September,2024
68,OnePlus,16,64,5.33,586,4463,Android,3.2,194,113684,28421,Nagpur,October,2022
69,Apple,4,64,6.68,474,4210,Android,3.9,159,75366,18841.5,Chennai,June,2020
70,Huawei,12,64,6.82,552,3830,Android,3.6,261,144072,36018,Surat,March,2022
71,Huawei,6,256,6.44,1289,4390,Android,3.2,349,449861,112465.25,Chandigarh,November,2022
72,Huawei,4,512,5.52,1302,4112,Android,4.5,90,117180,29295,Chennai,January,2022
73,Apple,8,64,6.26,797,5234,Android,4,448,357056,89264,Ahmedabad,March,2022
74,OnePlus,4,64,5.78,1425,5866,Android,4.1,221,314925,78731.25,Kolkata,September,2023
75,Huawei,4,128,6.07,757,4969,Android,3.8,235,177895,44473.75,Vijayawada,October,2023
76,Google,12,256,6.61,312,5179,Android,3.9,263,82056,20514,Bangalore,March,2024
77,Apple,6,64,6.86,1314,3871,iOS,3.2,355,466470,116617.5,Kolkata,May,2021
78,Apple,8,128,5.58,340,3634,Android,4.3,101,34340,8585,Chandigarh,May,2020
79,OnePlus,16,1024,6.01,929,4399,Android,3.9,119,110551,27637.75,Jaipur,June,2021
80,Apple,16,64,5.67,788,3690,Android,4.6,245,193060,48265,Nagpur,September,2023
81,Apple,4,64,5.5,610,5739,Android,3.4,496,302560,75640,Bangalore,July,2020
82,Huawei,12,128,6.96,576,4865,Android,3.4,491,282816,70704,Kolkata,January,2024
83,OnePlus,12,256,7.27,1375,4057,iOS,4.3,200,275000,68750,Patna,April,2023
84,Huawei,16,64,5.93,950,4955,Android,4.7,477,453150,113287.5,Patna,September,2020
85,Huawei,8,1024,6.88,826,3581,Android,3.9,158,130508,32627,Thiruvananthapuram,August,2023
86,OnePlus,6,64,7.24,1194,5218,Android,4.5,167,199398,49849.5,Bhopal,July,2023
87,Samsung,8,1024,7.12,902,4389,Android,5,414,373428,93357,Nagpur,May,2023
88,Huawei,6,512,5.46,661,3783,Android,5,144,95184,23796,Bhopal,March,2021
89,Google,16,512,7.39,211,3180,Android,4.5,305,64355,16088.75,Bhopal,May,2024
90,Google,6,1024,5.94,1379,3018,Android,4.5,93,128247,32061.75,Pune,September,2020
91,Apple,12,256,5.85,676,4249,Android,3.5,485,327860,81965,Surat,December,2020
92,Google,4,64,5.16,1138,5928,iOS,4.7,116,132008,33002,Mumbai,January,2024
93,Apple,4,64,6.22,600,4616,Android,3.8,205,123000,30750,Lucknow,December,2023
94,Samsung,16,512,5.27,1007,5222,Android,4.9,372,374604,93651,Pune,September,2024
95,OnePlus,12,1024,5.62,376,4245,Android,3.2,255,95880,23970,Indore,October,2020
96,OnePlus,8,64,5.79,256,4638,Android,3.9,323,82688,20672,Vijayawada,January,2020
97,OnePlus,12,64,7.02,647,3053,Android,4.1,204,131988,32997,Indore,October,2022
98,Google,4,256,7.19,402,5742,Android,3.8,228,91656,22914,Hyderabad,November,2023
99,Samsung,4,128,5.76,937,5910,Android,3.4,109,102133,25533.25,Chandigarh,November,2021
100,Google,12,512,7.15,401,4426,iOS,4.2,123,49323,12330.75,Ahmedabad,April,2022
101,Google,12,512,7.14,562,5396,Android,4.5,98,55076,13769,Mysore,May,2024
102,Samsung,4,128,6.91,1091,3442,Android,4.3,320,349120,87280,Chandigarh,August,2021
103,Samsung,8,64,5.37,653,5880,Android,3.5,122,79666,19916.5,Vijayawada,March,2021
104,Samsung,16,256,6.73,555,3579,Android,4.5,245,135975,33993.75,Chandigarh,December,2021
105,Samsung,16,256,7.36,415,3281,Android,3.5,448,185920,46480,Coimbatore,January,2020
106,OnePlus,12,512,6.71,1171,5407,iOS,3.4,228,266988,66747,Chennai,October,2020
107,Xiaomi,16,256,5.83,754,5962,Android,4.4,97,73138,18284.5,Chennai,May,2020
108,Xiaomi,4,128,6.25,1086,3822,iOS,4.7,121,131406,32851.5,Lucknow,December,2023
109,Samsung,4,64,6.61,222,5939,Android,4,162,35964,8991,Chennai,March,2021
110,Xiaomi,12,128,6.28,354,4669,Android,4.1,294,104076,26019,Vijayawada,October,2021
111,Xiaomi,12,1024,5.3,1409,3640,Android,3.6,434,611506,152876.5,Lucknow,May,2024
112,Samsung,12,512,5.78,448,4031,Android,4,440,197120,49280,Ahmedabad,December,2024
113,Xiaomi,8,256,7.01,948,5016,iOS,3.3,358,339384,84846,Patna,May,2022
114,Google,16,1024,7.15,1004,3562,Android,4.9,208,208832,,Coimbatore,February,2022
115,Apple,12,256,5.34,333,5538,Android,4.6,323,107559,26889.75,Nagpur,February,2020
116,Apple,6,64,7.38,520,3340,Android,4.3,317,164840,41210,Bangalore,July,2021
117,Samsung,6,64,5.82,,3471,Android,4.1,353,207917,51979.25,Hyderabad,January,2022
118,OnePlus,4,64,6.66,633,4710,Android,4.6,79,50007,12501.75,Bhopal,May,2024
119,Samsung,16,256,6.88,1245,5296,iOS,4,146,181770,45442.5,Ahmedabad,March,2020
120,OnePlus,12,1024,7.03,1072,3234,Android,3.6,300,321600,80400,Ahmedabad,October,2024
121,Apple,6,64,7.36,1348,4106,Android,3.3,56,75488,18872,Surat,May,2023
122,Samsung,16,1024,5.78,1302,4116,Android,4.3,141,183582,45895.5,Kolkata,May,2023
123,Huawei,4,256,7.15,1057,4908,Android,4.9,162,171234,42808.5,Kolkata,October,2021
124,Google,8,1024,5.33,250,4417,Android,3.3,308,77000,19250,Mysore,June,2020
125,Xiaomi,16,256,6.76,375,3823,iOS,3.4,156,58500,14625,Chennai,December,2021
126,OnePlus,16,256,6.85,1069,4291,Android,3.9,112,119728,29932,Patna,June,2020
127,Huawei,8,512,6.69,452,3631,Android,4.6,439,198428,49607,Bhopal,August,2023
128,Xiaomi,16,256,5.63,1165,3528,Android,3.6,407,474155,118538.75,Patna,December,2020
129,Xiaomi,4,256,7.18,1469,4980,iOS,3.5,320,470080,117520,Vijayawada,July,2023
130,Samsung,4,128,5.42,938,5169,iOS,4.2,248,232624,58156,Vijayawada,October,2024
131,Xiaomi,8,64,5.13,1329,5939,Android,4.1,476,632604,158151,Mysore,October,2023
132,Google,12,512,6.79,1416,5057,Android,3.1,396,560736,140184,Thiruvananthapuram,May,2024
133,Huawei,6,512,6.19,501,4339,Android,3.2,386,193386,48346.5,Kolkata,March,2020
134,Xiaomi,12,512,7.12,,5885,Android,4.3,195,145665,36416.25,Pune,October,2024
135,Samsung,16,128,5.96,915,4296,Android,3.9,455,416325,104081.25,Chandigarh,April,2022
136,Google,6,256,5.42,978,4329,Android,4.9,110,107580,26895,Hyderabad,May,2023
137,Apple,8,64,7.09,467,4233,Android,4.4,169,78923,19730.75,Indore,May,2023
138,Huawei,8,1024,6.37,1393,4981,Android,3,110,153230,38307.5,Ahmedabad,April,2020
139,Xiaomi,6,256,5.47,1209,4753,Android,4,358,432822,,Delhi,October,2024
140,Samsung,4,128,6.8,750,5800,Android,3.8,75,56250,14062.5,Bhopal,September,2021
141,Apple,6,256,6.28,1364,5933,Android,3.2,164,223696,55924,Chennai,February,2024
142,Apple,16,256,6.51,1369,5511,Android,4.8,89,121841,30460.25,Surat,September,2021
143,OnePlus,4,128,6.15,513,5759,Android,4.6,393,201609,50402.25,Mumbai,June,2023
144,Google,8,512,7.07,383,5775,Android,3.5,165,63195,15798.75,Delhi,August,2022
145,Xiaomi,6,512,7.07,912,5764,Android,3.5,185,168720,42180,Indore,May,2022
146,Samsung,12,64,6.77,327,4948,Android,3.1,326,,26650.5,Mysore,April,2021
147,OnePlus,12,64,5.26,1476,5127,Android,3.6,348,513648,128412,Jaipur,May,2023
148,Google,16,512,7.1,,5527,Android,4.2,70,62930,15732.5,Pune,May,2024
149,OnePlus,12,1024,6.68,585,3901,Android,3.8,436,255060,63765,Kolkata,December,2020
150,Huawei,6,256,6.74,1453,3890,iOS,4.9,80,116240,,Coimbatore,May,2021
151,Google,6,1024,5.91,470,4570,Android,3.1,296,139120,34780,Hyderabad,August,2020
152,Google,12,256,7.2,1010,4824,Android,4.2,460,464600,116150,Vijayawada,June,2022
153,Xiaomi,6,512,6.81,614,5065,Android,4.7,76,46664,11666,Patna,September,2021
154,Google,16,64,5.28,,4188,iOS,4,122,48434,,Delhi,October,2021
155,OnePlus,4,64,6.02,1279,4548,iOS,3,490,626710,156677.5,Bhopal,January,2020
156,Google,16,1024,7.22,1030,3201,Android,3.5,146,150380,37595,Patna,September,2021
157,Xiaomi,16,64,5.12,1426,3740,Android,3.6,210,299460,74865,Mysore,October,2024
158,Xiaomi,6,512,7.4,827,4369,Android,4.9,395,,81666.25,Indore,July,2023
159,Huawei,4,1024,6.7,803,4389,Android,4.8,349,,70061.75,Nagpur,April,2020
160,OnePlus,6,256,6.58,1361,5000,Android,4.9,348,473628,118407,Chandigarh,December,2022
161,Apple,8,64,5.68,1280,4471,iOS,4.7,336,430080,107520,Patna,November,2024
162,Apple,6,128,5.62,1209,4536,iOS,3.7,422,510198,127549.5,Nagpur,August,2024
163,Google,6,64,7.36,270,3318,Android,4.8,498,134460,33615,Kolkata,March,2024
164,Huawei,6,256,5.75,1110,5264,Android,5,261,289710,72427.5,Ahmedabad,September,2022
165,Samsung,4,1024,6.94,793,4057,iOS,3.7,125,99125,24781.25,Kolkata,November,2023
166,Google,6,256,5.98,799,4894,Android,3.5,450,359550,89887.5,Chandigarh,September,2020
167,Huawei,4,128,5.35,713,5313,Android,4.1,192,,34224,Ahmedabad,August,2020
168,OnePlus,12,512,5.03,283,3723,Android,3.4,83,23489,5872.25,Coimbatore,February,2022
169,OnePlus,8,64,6.36,1193,5822,iOS,3.1,385,459305,114826.25,Mysore,June,2022
170,OnePlus,4,1024,7.44,1266,4700,Android,4.9,53,67098,16774.5,Chennai,November,2021
171,OnePlus,12,512,5.92,1038,3412,Android,4.9,377,391326,97831.5,Chennai,November,2022
172,OnePlus,4,256,5.89,805,4275,iOS,3.3,147,118335,29583.75,Bhopal,October,2021
173,Huawei,4,1024,5.86,1009,3400,Android,3.8,415,,104683.75,Bangalore,November,2023
174,Huawei,8,512,6.3,332,4839,iOS,4.7,266,88312,22078,Hyderabad,August,2022
175,Xiaomi,16,1024,6.1,1288,3723,Android,4.3,77,99176,24794,Mysore,July,2022
176,Apple,16,128,7.2,489,5329,iOS,3.8,250,122250,30562.5,Indore,February,2024
177,OnePlus,4,128,6.26,575,4135,Android,4.5,435,250125,62531.25,Surat,September,2024
178,Samsung,6,64,6.27,,5770,Android,4.8,322,311696,77924,Pune,March,2023
179,Huawei,12,64,5.35,666,3750,Android,4.9,363,241758,60439.5,Delhi,February,2023
180,Samsung,6,128,7.46,1436,3267,Android,3.8,176,252736,,Nagpur,November,2023
181,Samsung,6,1024,5.62,1371,5345,Android,3.3,251,344121,86030.25,Surat,September,2020
182,Samsung,4,128,5.18,670,4340,Android,4.8,58,38860,9715,Bhopal,April,2020
183,Xiaomi,4,64,6.66,348,3569,Android,3.2,336,116928,29232,Bhopal,November,2023
184,Huawei,4,128,6.49,287,5556,Android,4.4,499,143213,35803.25,Ahmedabad,October,2024
185,Samsung,4,128,6.04,595,4973,iOS,3.3,137,81515,20378.75,Ahmedabad,December,2021
186,OnePlus,16,1024,6.06,989,3545,Android,3.8,367,362963,90740.75,Chennai,July,2024
187,Google,4,512,6.96,1305,5822,iOS,3.8,68,88740,22185,Kolkata,June,2024
188,Samsung,16,64,5.49,1064,3364,iOS,3.3,130,138320,34580,Coimbatore,January,2021
189,Xiaomi,16,1024,7.05,1493,,Android,4.8,156,232908,58227,Bangalore,May,2022
190,Huawei,4,128,6.62,223,3270,Android,3,360,80280,20070,Mysore,February,2021
191,Xiaomi,8,128,6.05,1155,3738,Android,4.8,461,532455,133113.75,Jaipur,February,2024
192,Samsung,12,512,6.15,510,5584,iOS,4.8,279,142290,35572.5,Delhi,May,2022
193,Huawei,6,64,5.64,1431,4257,Android,3.6,161,,57597.75,Lucknow,February,2022
194,Google,16,64,6.88,863,3058,Android,4.4,269,232147,58036.75,Nagpur,February,2023
195,Samsung,12,256,6.28,637,4274,iOS,3.5,172,109564,27391,Coimbatore,October,2020
196,Xiaomi,8,64,5.8,905,4870,Android,4.5,293,265165,66291.25,Coimbatore,April,2022
197,Apple,6,512,6.49,621,3085,Android,4.1,227,140967,,Chennai,November,2020
198,OnePlus,6,256,7.49,520,3762,Android,3.6,114,59280,14820,Hyderabad,November,2024
199,Xiaomi,16,256,6.09,786,3389,Android,3.8,429,337194,84298.5,Surat,October,2022
200,Huawei,4,128,7.3,1146,4203,iOS,4.4,52,59592,14898,Bangalore,August,2022
201,Samsung,8,128,5.86,1386,3718,iOS,4.8,256,354816,88704,Chennai,January,2022
202,OnePlus,16,64,5.14,1388,5903,Android,3.3,485,673180,168295,Bangalore,March,2024
203,Samsung,8,256,5.51,1048,3148,Android,4.1,443,464264,116066,Delhi,December,2021
204,Huawei,4,128,6.05,241,,iOS,3.5,70,16870,4217.5,Surat,December,2020
205,Samsung,4,512,5.55,1138,3120,Android,4.6,342,389196,97299,Mumbai,August,2024
206,Apple,16,128,5,586,5812,iOS,3.1,64,,9376,Patna,June,2024
207,OnePlus,4,128,7.29,1361,5652,Android,4.4,392,533512,133378,Mumbai,November,2020
208,OnePlus,12,256,7.11,,5303,Android,3.3,255,359550,89887.5,Vijayawada,November,2022
209,Huawei,6,256,6.86,1109,3765,Android,4.2,251,278359,69589.75,Kolkata,September,2024
210,Apple,16,1024,5.42,915,5911,Android,4.7,169,154635,38658.75,Vijayawada,May,2020
211,Xiaomi,8,512,5.3,630,3799,Android,4.5,186,117180,29295,Chandigarh,June,2023
212,Samsung,12,256,5.17,753,5106,Android,4.5,349,262797,65699.25,Chandigarh,May,2024
213,Google,16,64,6.81,999,,Android,4,344,343656,85914,Mysore,November,2022
214,Samsung,4,512,7.32,625,4469,Android,4.8,438,273750,68437.5,Mysore,April,2022
215,Samsung,4,512,6.08,225,5435,iOS,4.2,74,16650,4162.5,Surat,August,2024
216,Xiaomi,4,256,5.3,584,4109,iOS,4.8,361,210824,52706,Mysore,November,2020
217,Samsung,4,512,6.28,255,5833,Android,4.1,283,72165,18041.25,Chennai,March,2020
218,Apple,8,256,5.87,1476,4250,Android,4,170,250920,62730,Chennai,July,2021
219,Apple,12,128,5.94,833,5640,Android,3.4,139,115787,28946.75,Bhopal,May,2024
220,OnePlus,6,1024,6.55,305,4649,Android,4.1,369,112545,28136.25,Chennai,September,2023
221,Huawei,8,128,6.8,1353,4815,Android,3.3,249,336897,84224.25,Thiruvananthapuram,October,2020
222,Google,8,256,5.28,1048,4345,Android,4.7,229,239992,59998,Ahmedabad,June,2023
223,Samsung,6,256,5.09,869,5956,Android,4.4,394,342386,85596.5,Thiruvananthapuram,January,2021
224,Samsung,6,128,7.49,575,4341,iOS,5,417,239775,59943.75,Thiruvananthapuram,December,2023
225,Xiaomi,4,64,5.58,942,5613,iOS,3.2,125,117750,29437.5,Vijayawada,April,2024
226,Huawei,8,64,5.13,1166,5446,Android,3.5,186,,54219,Bhopal,June,2021
227,Apple,16,64,5.47,507,4732,iOS,4.8,187,,23702.25,Chennai,November,2020
228,Google,6,256,5.1,290,3898,Android,3.8,59,17110,4277.5,Patna,May,2024
229,OnePlus,6,512,5.98,1001,5340,Android,3.9,250,250250,62562.5,Coimbatore,July,2023
230,Apple,12,256,7.01,309,3484,Android,4.7,367,113403,28350.75,Thiruvananthapuram,August,2023
231,Huawei,16,512,5.85,784,3802,Android,4,395,309680,77420,Coimbatore,July,2022
232,OnePlus,16,128,6.11,539,4715,Android,3.4,268,144452,36113,Bangalore,June,2022
233,Xiaomi,6,1024,6.69,1178,4915,iOS,4.8,109,,,Lucknow,May,2022
234,Xiaomi,4,512,6.27,555,4757,Android,3.1,196,108780,27195,Coimbatore,February,2022
235,Samsung,12,64,7.15,367,4809,Android,4.8,156,57252,14313,Hyderabad,July,2021
236,Huawei,16,256,7.17,756,5937,iOS,3.1,87,65772,16443,Chandigarh,April,2020
237,Google,6,128,5.02,1104,,Android,4.3,183,202032,50508,Jaipur,November,2023
238,OnePlus,16,64,6.95,304,,Android,3.1,448,136192,34048,Thiruvananthapuram,May,2020
239,Apple,12,128,6.15,349,4952,Android,4.4,270,94230,23557.5,Mysore,March,2023
240,Huawei,12,1024,7.47,345,5863,Android,3.1,352,121440,30360,Lucknow,September,2021
241,Huawei,8,256,6.21,915,5320,Android,4.7,478,437370,109342.5,Thiruvananthapuram,June,2021
242,Xiaomi,6,256,7.47,1073,4670,Android,3.9,182,195286,48821.5,Jaipur,July,2024
243,Samsung,12,1024,6.89,498,4848,Android,3.2,383,190734,47683.5,Mysore,August,2020
244,Samsung,8,256,5.62,1390,3519,iOS,4.4,102,141780,35445,Chennai,December,2021
245,OnePlus,8,512,6.35,845,4151,Android,4,499,421655,105413.75,Vijayawada,December,2022
246,Xiaomi,16,128,7.48,922,4396,Android,3.4,111,102342,25585.5,Thiruvananthapuram,November,2021
247,Huawei,16,64,7.14,1271,5615,Android,3,72,91512,22878,Ahmedabad,June,2024
248,Google,8,1024,5.24,837,5685,iOS,3.8,93,77841,19460.25,Chennai,July,2024
249,Xiaomi,16,512,6.77,438,5206,Android,3.2,357,156366,39091.5,Vijayawada,January,2023
250,OnePlus,12,64,5.86,1230,3651,Android,3.2,95,116850,29212.5,Hyderabad,July,2023
251,OnePlus,4,64,5.02,663,5223,Android,3.5,196,129948,32487,Indore,August,2024
252,Xiaomi,12,1024,6.01,652,4950,iOS,4.3,265,172780,43195,Surat,October,2020
253,OnePlus,8,512,5.59,,5667,iOS,4.1,389,382387,95596.75,Surat,October,2023
254,Xiaomi,8,64,7.05,1096,3210,Android,3.1,96,105216,26304,Ahmedabad,September,2024
255,Apple,12,64,5.84,570,5494,Android,4.9,396,225720,56430,Surat,August,2023
256,Xiaomi,16,512,7.07,686,3585,Android,4.8,357,244902,61225.5,Bangalore,September,2020
257,Xiaomi,16,256,5,1434,3166,Android,3.5,73,104682,26170.5,Kolkata,September,2022
258,OnePlus,8,64,5.77,364,5507,Android,3.2,194,70616,17654,Mumbai,November,2020
259,OnePlus,6,128,5.6,,5963,Android,4.9,138,186024,46506,Chennai,September,2020
260,Samsung,16,512,5.58,391,4256,Android,3.9,223,87193,21798.25,Chandigarh,November,2024
261,Samsung,12,64,5.17,,4205,iOS,3.6,113,104977,26244.25,Indore,December,2020
262,Apple,16,1024,5.47,413,4738,Android,4,168,69384,17346,Surat,January,2023
263,Samsung,12,128,6.39,773,,Android,4.5,272,210256,52564,Pune,February,2020
264,Xiaomi,8,64,5.73,1156,3713,Android,3.3,205,,59245,Lucknow,June,2022
265,OnePlus,16,128,6.04,580,5888,Android,4.5,227,131660,32915,Thiruvananthapuram,July,2023
266,Samsung,12,128,5.94,872,5915,Android,4.5,369,321768,80442,Surat,February,2022
267,Samsung,8,256,7.19,,3687,iOS,4.1,461,459617,114904.25,Nagpur,August,2024
268,Apple,6,128,7.26,438,3329,Android,4.7,391,171258,42814.5,Thiruvananthapuram,December,2021
269,Huawei,12,256,6.23,899,4746,Android,3.3,105,94395,23598.75,Patna,October,2022
270,Apple,6,512,5.83,1305,4207,Android,4.2,108,140940,35235,Ahmedabad,June,2023
271,Xiaomi,6,256,5.27,704,5142,Android,3.9,438,,77088,Kolkata,October,2020
272,OnePlus,4,1024,7.38,401,,Android,3.8,487,195287,,Delhi,May,2021
273,Apple,16,64,5.15,1119,5696,Android,3.5,477,533763,133440.75,Mumbai,October,2021
274,Samsung,12,512,5.74,236,5400,Android,3.7,475,112100,28025,Hyderabad,December,2023
275,OnePlus,6,512,5.75,843,5977,Android,3.2,430,362490,90622.5,Jaipur,August,2021
276,OnePlus,4,1024,5.8,964,3940,Android,3.5,269,259316,64829,Bangalore,July,2020
277,Samsung,8,256,5.41,905,4288,Android,3.5,234,211770,52942.5,Lucknow,June,2024
278,Apple,12,64,6.96,1399,4679,Android,4.4,96,134304,33576,Patna,June,2024
279,Samsung,6,256,5.31,744,5693,Android,3.1,426,316944,79236,Lucknow,October,2023
280,Huawei,16,128,6.59,1424,,Android,4.3,458,652192,163048,Pune,October,2021
281,OnePlus,4,256,5.31,739,3138,Android,3.4,151,111589,27897.25,Coimbatore,February,2022
282,Google,6,512,5.18,1216,5763,Android,3.2,93,113088,28272,Mysore,December,2021
283,Google,16,64,7.27,593,3761,Android,3.6,64,37952,9488,Nagpur,September,2023
284,Xiaomi,6,256,5.48,1032,,Android,3.4,285,294120,73530,Vijayawada,October,2023
285,Samsung,12,64,7.05,1265,5302,Android,4.1,410,518650,129662.5,Surat,January,2024
286,Samsung,12,64,6.36,796,4555,Android,3.7,100,79600,19900,Hyderabad,October,2024
287,Xiaomi,12,128,5.19,592,3675,iOS,4.9,358,211936,52984,Jaipur,February,2022
288,Xiaomi,4,128,7.39,899,3091,iOS,4.9,83,74617,18654.25,Vijayawada,March,2022
289,Xiaomi,12,512,5.62,640,4092,Android,3.9,173,110720,27680,Hyderabad,November,2020
290,OnePlus,16,1024,7.15,1117,3036,Android,4.6,126,140742,35185.5,Mysore,December,2021
291,Huawei,6,64,5.42,519,4787,iOS,3,441,228879,57219.75,Chennai,October,2021
292,Samsung,8,1024,7.13,752,5187,Android,4.1,172,129344,32336,Mumbai,August,2024
293,OnePlus,16,512,5.03,1438,5914,Android,4.5,254,365252,91313,Ahmedabad,January,2020
